/* DATA DESCRIPTION:
Citation:	Tian, J et al. (2002): Stable oxygen isotope ratios of Cibicidoides wuellerstorfi from the Plio-Pleistocene section of Site ODP 184-1143 in the South China Sea, doi:10.1594/PANGAEA.132801,
	In Supplement to: Tian, Jun; Wang, Pinxian; Cheng, Xinrong; Li, Qianyu (2002): Astronomically tuned Plio- Pleistocene benthic d18O record from South-China Sea and Atlantic-Pacific comparison, Earth and Planetary Science Letters, 203(3-4), 1015-1029, doi:10.1016/S0012-821X(02)00923-8
Reference(s):	Wang, Pinxian; Tian, Jun; Cheng, Xinrong; Liu, Cho-Teng; Xu, Jian (2003): Carbon reservoir changes preceded major ice-sheet expansion at the mid-Brunhes event, Geology, 31(3), 239-242, doi:10.1130/0091-7613(2003)031<0239:CRCPMI>2.0.CO;2
	Tian, Jun; Wang, Pinxian; Cheng, Xinrong (2004): Development of the East Asian monsoon and Northern Hemisphere glaciation: Oxygen isotope records from the South China Sea, Quaternary Science Reviews, 23(18-1), 2007-2016, doi:10.1016/j.quascirev.2004.02.013
Project(s):	Ocean Drilling Program (ODP) (URI: http://odp.pangaea.de/)
Coverage:	WEST: 113.2851 * EAST: 113.2851 * SOUTH: 9.3619 * NORTH: 9.3619
	MINIMUM AGE: 0.000 ka BP * MAXIMUM AGE: 5020.610 ka BP
	DATE/TIME START: 1999-03-03T00:00:00 * DATE/TIME END: 1999-03-10T00:00:00
Event(s):	184-1143 * LATITUDE: 9.3619 * LONGITUDE: 113.2851 * ELEVATION: -2772.3 m * DATE/TIME: 1999-03-03T00:00:00 * DATE/TIME 2: 1999-03-10T00:00:00 * RECOVERY: 1101.80 m * PENETRATION: 1158.20 m * CAMPAIGN: Leg184 (URI: doi:10.2973/odp.proc.ir.184.2000) * BASIS: Joides Resolution (URI: http://odp.pangaea.de/resolutn.html) * DEVICE: Composite Core * COMMENT: 126 cores; 1158.2 m cored; 0 m drilled; 95.1% recovery
Comment:	All benthic foraminiferal data are based on Cibicidoides wuellerstorfi, or Uvigerina peregrina data corrected to C. wuellerstorfi values following the standard of Shackleton and Hall (1983, doi:10.2973/dsdp.proc.69.118.1983), 0.64‰ was subtracted from the delta18O values of U. peregrina
Parameter(s):	AGE [ka BP] (Age) * Geocode
	Depth, composite [mcd] (Depth c) * PI: Tian, Jun (URL: mlab.tongji.edu.cn, eMail: tianjun@mail.tongji.edu.cn) * METHOD: Intercore correlation
	Cibicidoides wuellerstorfi, d18O [per mil PDB] (C. wuellerstorfi d18O) * PI: Tian, Jun (URL: mlab.tongji.edu.cn, eMail: tianjun@mail.tongji.edu.cn) * METHOD: Mass spectrometer Finnigan MAT 252
	Sedimentation rate [cm/ka] (Sed rate) * PI: Tian, Jun (URL: mlab.tongji.edu.cn, eMail: tianjun@mail.tongji.edu.cn) * METHOD: calculated, see reference(s)
Size:	5119 data points
*/
Age [ka BP]	Depth c [mcd]	C. wuellerstorfi d18O [per mil PDB]	Sed rate [cm/ka]
3806.320	158.52	2.31	10.67
3807.260	158.62	2.17	10.67
3808.200	158.72	2.05	10.67
3809.140	158.82	2.27	10.67
3810.070	158.92	2.37	10.67
3811.010	159.02	2.63	10.67
3811.950	159.12	2.53	10.67
3812.890	159.22	2.26	10.67
3813.820	159.32	2.41	10.67
3814.760	159.42	2.22	10.67
3815.700	159.52	2.29	10.67
3816.640	159.62	2.27	10.67
3818.510	159.82	1.96	10.67
3819.450	159.92	2.16	10.67
3820.390	160.02	2.13	10.67
3821.320	160.12	2.41	10.67
3822.260	160.22	2.33	10.67
3823.200	160.32	2.15	10.67
3824.140	160.42	2.10	10.67
3825.070	160.52	2.30	10.67
3826.010	160.62	2.06	10.67
3826.950	160.72	2.17	10.67
3827.890	160.82	2.25	10.67
3828.820	160.92	2.16	10.67
3830.700	161.12	2.42	10.67
3831.640	161.22	2.36	10.67
3832.570	161.32	2.65	10.67
3833.510	161.42	2.54	10.67
3834.450	161.52	2.40	10.67
3835.390	161.62	2.32	10.67
3836.320	161.72	1.99	10.67
3837.260	161.82	2.13	10.67
3838.200	161.92	2.02	10.67
3844.500	162.02	2.05	1.59
3850.800	162.12	2.22	1.59
3858.940	162.32	2.05	2.46
3863.010	162.42	2.37	2.46
3867.090	162.52	2.24	2.46
3871.160	162.62	2.55	2.46
3875.230	162.72	2.58	2.46
3891.600	162.92	2.21	1.22
3903.900	163.02	2.14	0.81
3907.230	163.12	2.38	3.00
3910.560	163.22	2.18	3.00
3913.890	163.32	2.25	3.00
3917.210	163.42	2.20	3.00
3920.540	163.52	2.28	3.00
3923.870	163.62	2.35	3.00
3927.200	163.72	2.20	3.00
3932.750	163.82	2.08	1.80
3938.300	163.92	2.25	1.80
3943.440	164.02	2.37	1.95
3948.570	164.12	2.41	1.95
3953.710	164.22	2.42	1.95
3958.850	164.32	2.41	1.95
3968.090	164.50	2.13	1.95
3973.230	164.60	2.26	1.95
3977.460	164.70	2.37	2.36
3980.780	164.80	2.46	3.01
3984.110	164.90	2.25	3.01
3987.430	165.00	2.27	3.01
3990.750	165.10	1.73	3.01
3994.080	165.20	2.94	3.01
3997.400	165.30	2.94	3.01
4004.480	165.50	2.31	2.82
4008.020	165.60	2.38	2.82
4011.560	165.70	2.43	2.83
4015.100	165.80	2.52	2.82
4020.160	165.90	2.57	1.98
4025.220	166.00	2.49	1.98
4030.280	166.10	2.51	1.98
4035.340	166.20	2.51	1.98
4040.400	166.30	2.61	1.98
4044.170	166.40	2.42	2.66
4047.930	166.50	2.56	2.65
4051.700	166.60	2.02	2.65
4055.470	166.70	2.35	2.66
4059.230	166.80	2.36	2.65
4063.000	166.90	2.27	2.66
4069.920	167.00	2.28	1.44
4078.230	167.12	2.30	1.44
4085.150	167.22	2.31	1.44
4092.080	167.32	2.46	1.44
4099.000	167.42	2.38	1.44
4100.400	167.52	2.42	7.14
4101.800	167.62	2.39	7.14
4103.200	167.72	2.20	7.14
4104.600	167.82	2.24	7.14
4106.000	167.92	2.18	7.14
4119.500	168.02	2.28	0.74
4133.000	168.12	2.07	0.74
4137.230	168.22	2.16	2.37
4141.870	168.33	2.25	2.37
4146.100	168.43	2.24	2.37
4156.050	168.53	2.34	1.01
4166.000	168.63	2.31	1.01
4181.850	168.73	2.18	0.63
4197.700	168.83	2.33	0.63
4210.170	168.93	2.36	0.80
4214.740	169.03	2.19	2.19
4219.300	169.13	2.29	2.19
4223.870	169.23	2.31	2.19
4228.430	169.33	2.11	2.19
4233.000	169.43	2.37	2.19
4237.760	169.53	2.44	2.10
4242.520	169.63	2.41	2.10
4247.290	169.73	2.31	2.10
4253.000	169.85	2.35	2.10
4269.310	169.95	2.10	0.61
4280.290	170.05	2.21	0.91
4289.000	170.15	2.31	1.15
4294.290	170.25	2.24	1.89
4299.570	170.35	2.26	1.89
4304.860	170.45	2.22	1.89
4310.140	170.55	2.15	1.89
4315.430	170.65	2.06	1.89
4320.360	170.75	2.34	2.03
4324.770	170.85	2.43	2.27
4329.180	170.95	2.30	2.27
4333.590	171.05	2.34	2.27
4338.000	171.15	2.04	2.27
4345.110	171.25	2.31	1.41
4352.230	171.35	1.98	1.41
4359.340	171.45	2.28	1.41
4366.460	171.55	2.21	1.41
4369.300	171.59	2.34	1.41
4377.100	171.69	2.18	1.28
4384.900	171.79	2.24	1.28
4401.400	171.99	2.19	1.21
4410.300	172.09	2.51	1.12
4419.200	172.19	2.39	1.12
4428.100	172.29	2.15	1.12
4433.770	172.39	2.00	1.76
4439.430	172.49	2.19	1.76
4445.100	172.59	1.94	1.76
4451.000	172.69	2.34	1.69
4456.900	172.79	2.16	1.70
4463.290	172.89	2.18	1.57
4469.680	172.99	2.20	1.57
4476.070	173.09	2.36	1.57
4481.890	173.19	2.37	1.72
4486.870	173.29	2.35	2.01
4491.860	173.39	2.52	2.01
4496.840	173.49	2.49	2.01
4501.820	173.59	2.33	2.01
4506.800	173.69	2.20	2.01
4512.170	173.79	2.26	1.86
4517.530	173.89	2.17	1.86
4522.900	173.99	2.18	1.86
4527.910	174.19	2.47	3.99
4532.920	174.39	2.25	3.99
4535.430	174.49	2.23	3.99
4542.950	174.79	2.50	3.99
4547.570	174.89	2.12	2.16
4554.300	174.99	2.33	1.49
4561.030	175.09	2.26	1.49
4565.270	175.19	2.67	2.36
4568.770	175.39	2.35	5.72
4572.270	175.59	2.28	5.72
4574.010	175.69	2.27	5.72
4575.760	175.79	2.26	5.72
4577.510	175.89	2.32	5.72
4579.260	175.99	2.17	5.72
4581.000	176.09	2.20	5.72
4582.750	176.19	2.38	5.72
4584.500	176.29	2.30	5.72
4590.870	176.39	2.41	1.57
4597.230	176.49	1.98	1.57
4603.600	176.59	2.28	1.57
4605.830	176.67	2.43	3.59
4608.620	176.77	2.41	3.59
4611.410	176.87	2.40	3.59
4614.190	176.97	2.64	3.59
4616.980	177.07	2.38	3.59
4619.770	177.17	2.46	3.59
4622.560	177.27	2.24	3.59
4625.350	177.37	2.35	3.59
4630.920	177.57	2.36	3.59
4633.710	177.67	2.31	3.59
4636.500	177.77	2.33	3.59
4638.180	177.87	2.34	5.95
4639.860	177.97	2.25	5.95
4641.540	178.07	2.21	5.95
4643.220	178.17	2.35	5.95
4644.900	178.27	2.30	5.95
4648.140	178.37	2.32	3.09
4651.370	178.47	2.34	3.09
4654.610	178.57	2.38	3.09
4657.850	178.67	2.31	3.09
4661.090	178.77	2.41	3.09
4664.320	178.87	2.17	3.09
4667.560	178.97	2.35	3.09
4670.800	179.07	2.20	3.09
4673.040	179.17	2.34	4.46
4675.280	179.27	2.09	4.46
4677.520	179.37	2.30	4.46
4679.760	179.47	2.35	4.46
4682.000	179.57	2.05	4.46
4688.020	179.67	2.17	1.66
4694.040	179.77	2.50	1.66
4700.060	179.87	2.33	1.66
4706.080	179.97	2.25	1.66
4712.100	180.07	2.22	1.66
4714.800	180.17	2.10	3.70
4717.500	180.27	2.31	3.70
4720.200	180.37	2.26	3.70
4722.900	180.47	2.25	3.70
4725.380	180.57	2.26	4.04
4727.850	180.67	2.22	4.04
4730.330	180.77	2.53	4.04
4732.810	180.87	2.22	4.04
4737.760	181.07	2.21	4.04
4740.240	181.17	2.46	4.04
4742.720	181.27	2.37	4.04
4745.190	181.37	2.40	4.04
4747.670	181.47	2.30	4.04
4750.150	181.57	2.20	4.04
4752.620	181.67	2.04	4.04
4755.100	181.77	2.11	4.04
4755.950	181.87	2.25	11.76
4756.800	181.97	2.12	11.77
4757.650	182.07	2.49	11.76
4758.500	182.17	2.07	11.76
4761.700	182.27	2.28	3.13
4764.890	182.37	2.03	3.13
4768.090	182.47	2.44	3.13
4771.280	182.57	2.25	3.13
4774.480	182.67	2.54	3.13
4777.670	182.77	2.40	3.13
4780.870	182.87	2.38	3.13
4781.500	182.89	2.23	3.13
4784.700	182.99	2.31	3.13
4789.370	183.09	2.16	2.14
4794.030	183.19	2.27	2.14
4798.700	183.29	2.30	2.14
4801.550	183.39	2.12	3.51
4807.250	183.59	2.48	3.51
4810.100	183.69	2.58	3.51
4812.950	183.79	2.47	3.51
4818.650	183.99	2.40	3.51
4821.500	184.09	2.42	3.51
4824.350	184.19	2.82	3.51
4827.200	184.29	2.22	3.51
4832.230	184.39	2.31	1.99
4837.270	184.49	2.32	1.99
4842.300	184.59	2.28	1.99
4847.190	184.69	2.29	2.05
4852.070	184.79	2.82	2.05
4856.960	184.89	2.77	2.05
4861.840	184.99	2.38	2.05
4866.730	185.09	2.31	2.05
4876.500	185.29	2.36	2.05
4878.480	185.39	2.51	5.06
4880.060	185.47	2.18	5.06
4882.040	185.57	2.09	5.06
4884.010	185.67	2.03	5.06
4886.310	185.77	2.84	4.36
4891.540	185.97	2.34	3.82
4894.150	186.07	2.20	3.82
4896.770	186.17	2.32	3.82
4899.380	186.27	2.31	3.82
4902.000	186.37	2.30	3.82
4908.100	186.47	2.22	1.64
4914.200	186.57	2.21	1.64
4920.300	186.67	1.98	1.64
4926.400	186.77	2.17	1.64
4929.800	186.87	2.32	2.94
4933.200	186.97	2.50	2.94
4940.000	187.17	2.42	2.94
4943.400	187.27	2.44	2.94
4946.800	187.37	2.38	2.94
4950.200	187.47	2.18	2.94
4953.000	187.57	2.24	3.57
4955.800	187.67	1.76	3.57
4958.600	187.77	2.20	3.57
4961.400	187.87	2.08	3.57
4964.200	187.97	2.05	3.57
4967.000	188.07	1.95	3.57
4968.990	188.17	2.19	5.04
4970.970	188.27	2.34	5.04
4972.960	188.37	2.42	5.04
4974.940	188.47	2.27	5.04
4976.930	188.57	2.22	5.04
4978.910	188.67	2.23	5.04
4980.900	188.77	2.24	5.04
4982.890	188.87	2.28	5.04
4984.870	188.97	2.31	5.04
4986.860	189.07	2.42	5.04
4988.840	189.17	2.48	5.04
4990.830	189.27	2.23	5.04
4992.810	189.37	2.33	5.04
4994.800	189.47	2.32	5.04
4996.780	189.57	2.20	
5000.760	189.77	2.03	
5002.740	189.87	2.12	
5004.730	189.97	2.23	
5006.710	190.07	2.33	
5008.700	190.17	2.41	
5010.680	190.27	2.46	
5012.670	190.37	2.56	
5014.650	190.47	2.51	
5016.640	190.57	2.27	
5020.610	190.77	2.31	
