Scientific Results, Volume 177
D. Hodell et al., Ms 177SR-120
Chapter 9, Table T4.  d18O and d13C of benthic and planktonic foraminifers and CaCO3 at Site 1090 and piston core TTN057-6.  																


Site/Hole	Core	Section	Interval top (cm)	Interval bottom (cm)	Depth (mcd)	Age (ka)	d18O C. wuellerstorfi (permil)	d13C C. wuellerstorfi (permil)	d18O C. kullenbergi (permil)	d13C C. kullenbergi (permil)	d18O G. bulloides (permil)	d13C G. bulloides (permil)	d18O N. pachyderma (permil)	d13C N. pachyderma (permil)	CaCO3	 (wt%)	Lab
1090D	4	3	104	106	33.43	1052.10	3.62	-1.23			2.38	0.07			62.3	UF
1090D	4	3	109	111	33.48	1052.90	3.43	-1.20			2.24	-0.18			59.6	UF
1090D	4	3	114	116	33.53	1053.80	3.47	-1.14			1.92	0.22			60.2	UF
1090D	4	3	119	121	33.58	1054.60	3.43	-1.10			2.02	0.72			70.3	UF
1090D	4	3	124	126	33.63	1055.40	3.23	-0.59			1.91	0.54			81.2	UF
1090D	4	3	129	131	33.68	1056.30	3.40	-1.20			2.12	0.46			84.8	UF
1090D	4	3	134	136	33.73	1057.10	3.04	-0.27			1.96	0.56			84.9	UF
1090D	4	3	139	141	33.78	1057.90					1.91	0.19			83.2	UF
1090D	4	3	144	146	33.83	1058.80					1.94	0.59			84.1	UF
1090D	4	4	0	2	33.89	1059.70					1.74	0.18			84.6	UF
1090D	4	4	4	6	33.93	1060.40					1.85	0.08			82.0	UF
1090D	4	4	9	11	33.98	1061.20					1.35	0.30			84.1	UF
1090D	4	4	14	16	34.03	1062.10					1.52	0.29			81.3	UF
1090D	4	4	19	21	34.08	1062.90	2.87	0.60			1.45	0.29			82.3	UF
1090D	4	4	24	26	34.13	1065.50	2.74	0.46			2.18	0.49			86.5	UF
1090D	4	4	29	31	34.18	1068.00	2.88	-0.09			2.18	0.29			88.0	UF
1090D	4	4	34	36	34.23	1070.60	3.24	-0.90			1.88	-0.01			87.1	UF
1090D	4	4	39	41	34.28	1073.10	2.88	0.25			1.73	0.15			87.7	UF
1090D	4	4	44	46	34.33	1075.70	3.04	-0.16			2.20	0.45			87.1	UF
1090D	4	4	49	51	34.38	1078.30					2.03	0.15			84.5	UF
1090D	4	4	54	56	34.43	1080.80					2.09	0.41			84.1	UF
1090D	4	4	59	61	34.48	1083.40					2.15	-0.19			85.5	UF
1090D	4	4	64	66	34.53	1085.90					2.17	-0.03			84.7	UF
1090D	4	4	69	71	34.58	1088.50	3.85	-0.92			2.33	-0.09			81.4	UF
1090D	4	4	74	76	34.63	1090.60	3.56	-1.00			2.16	-0.48			81.9	UF
1090D	4	4	79	81	34.68	1092.80	3.57	0.04			2.19	-0.41			78.7	UF
1090D	4	4	84	86	34.73	1094.90	3.08	0.38			2.40	-0.16			73.6	UF
1090D	4	4	89	91	34.78	1097.10	3.32	-0.20			2.57	0.28			70.8	UF
1090D	4	4	94	96	34.83	1099.20	3.53	-0.02			2.48	0.41			72.0	UF
1090D	4	4	99	101	34.88	1101.40	3.15	-0.09			2.05	0.15			70.1	UF
1090D	4	4	104	106	34.93	1103.50	2.97	-0.20			1.84	0.22			80.5	UF
1090D	4	4	109	111	34.98	1105.60	3.22	-0.61			1.96	-0.20			82.2	UF
1090D	4	4	114	116	35.03	1107.80	3.21	-0.44			1.97	-0.35			81.4	UF
1090D	4	4	119	121	35.08	1109.90	3.22	-0.67			1.99	-0.35			86.8	UF
1090D	4	4	124	126	35.13	1112.10	3.61	-1.39			2.38	-0.30			81.3	UF
1090D	4	4	129	131	35.18	1114.20	3.50	-0.87			2.49	-0.43			76.1	UF
1090D	4	4	134	136	35.23	1116.30	3.48	-0.82			2.23	-0.36			76.1	UF
1090D	4	4	139	141	35.28	1118.50	3.10	-0.48			2.22	-0.59			56.7	UF
1090D	4	4	144	146	35.33	1120.60	3.17	-0.49			2.48	-0.19			47.6	UF
1090D	4	5	0	2	35.39	1123.20	3.79	-1.00			2.16	-0.14			45.1	UF
1090D	4	5	4	6	35.43	1126.20	3.62	-0.85			2.20	0.00			48.1	UF
1090D	4	5	9	11	35.48	1129.90					2.28	-0.61			45.7	UF
1090D	4	5	14	16	35.53	1133.60					2.47	0.36			51.5	UF
1090D	4	5	19	21	35.58	1137.30					2.60	0.25			55.8	UF
1090D	4	5	24	26	35.63	1141.00					2.40	0.19			59.5	UF
1090D	4	5	29	31	35.68	1144.70	3.31	-0.49			2.44	0.53			67.0	UF
1090D	4	5	34	36	35.73	1148.40	3.40	-0.76			2.30	0.80			64.5	UF
1090D	4	5	39	41	35.78	1152.10	3.28	-0.88			2.32	0.75			66.5	UF
1090D	4	5	44	46	35.83	1155.80	3.43	-0.53			2.42	0.88			71.3	UF
1090D	4	5	49	51	35.88	1159.50	3.13	-0.40			2.21	0.44			81.1	UF
1090D	4	5	54	56	35.93	1163.20	3.49	-0.99			1.84	0.73			77.9	UF
1090D	4	5	59	61	35.98	1166.90	3.46	-0.56			2.02	0.52			78.9	UF
1090D	4	5	64	66	36.03	1170.60	3.27	-0.94			1.82	0.48			76.3	UF
1090D	4	5	69	71	36.08	1174.30	3.29	-0.46			1.89	0.52			79.1	UF
1090D	4	5	74	76	36.13	1178.00	3.21	0.22			1.96	0.55			79.0	UF
1090D	4	5	79	81	36.18	1181.70	3.18	-0.31			2.16	0.43			82.1	UF
1090D	4	5	84	86	36.23	1185.40	3.56	-0.87			2.01	0.30			81.0	UF
1090D	4	5	89	91	36.28	1189.10					1.93	0.11			78.1	UF
1090D	4	5	94	96	36.33	1192.80	3.68	-0.08			2.15	0.17			71.0	UF
1090D	4	5	99	101	36.38	1197.20	3.88	0.04			2.09	0.17			74.6	UF
1090D	4	5	104	106	36.43	1201.60					2.17	0.33			70.4	UF
1090D	4	5	109	111	36.48	1206.00	3.78	-0.05			2.03	-0.03			63.2	UF
1090D	4	5	114	116	36.53	1210.40	3.76	-0.84			2.30	0.29			61.4	UF
1090D	4	5	119	121	36.58	1214.80	3.99	-0.43			1.98	0.19			56.7	UF
1090D	4	5	124	126	36.63	1219.10	3.50	-0.35							54.0	UF
1090D	4	5	129	131	36.68	1223.50	3.47	-0.62			2.77	0.32			58.3	UF
1090D	4	5	134	136	36.73	1227.90	3.54	-0.51							59.0	UF
1090D	4	5	139	141	36.78	1232.30	3.38	-0.48			1.74	0.64			64.8	UF
1090D	4	5	144	146	36.83	1236.70	3.42	-0.64			1.65	0.42			77.0	UF
1090D	4	6	0	2	36.89	1242.00	3.33	-0.48			1.69	0.16			79.5	UF
1090D	4	6	4	6	36.93	1245.50	3.22	-0.44			1.66	0.25			75.6	UF
																
1090E	4	3	12	14	36.97	1249.00	4.03	-0.68			1.40	0.46			81.5	UF
1090E	4	3	17	19	37.02	1251.60					1.51	-0.17			79.7	UF
1090E	4	3	22	24	37.07	1254.30	3.90	-1.00			1.81	-0.31			78.2	UF
1090E	4	3	27	29	37.12	1256.90	3.65	-0.84			1.82	-0.49			76.2	UF
1090E	4	3	32	34	37.17	1259.60	3.88	-1.05			2.58	-0.46			72.3	UF
1090E	4	3	37	39	37.22	1262.20	3.93	-1.14			2.55	-0.08			67.4	UF
1090E	4	3	42	44	37.27	1264.80	3.91	-0.88			2.69	0.06			53.8	UF
1090E	4	3	47	49	37.32	1267.50	3.87	-0.59			1.89	-0.30			38.2	UF
1090E	4	3	52	54	37.37	1270.10	3.46	-0.80			2.15	-0.28			50.8	UF
1090E	4	3	57	59	37.42	1272.80	3.52	-0.86			2.18	-0.07			56.4	UF
1090E	4	3	62	64	37.47	1275.40	3.19	-0.68			2.05	0.60			74.9	UF
1090E	4	3	67	69	37.52	1278.00	3.43	-0.06			2.13	0.41			75.0	UF
1090E	4	3	72	74	37.57	1280.70	3.18	-0.79			2.24	0.17			66.8	UF
1090E	4	3	77	79	37.62	1283.30	3.70	-1.34			2.12	0.03			60.5	UF
1090E	4	3	82	84	37.67	1286.00					2.02	0.24			61.8	UF
1090E	4	3	87	89	37.72	1288.60	3.67	-1.26			2.02	0.13			63.5	UF
1090E	4	3	92	94	37.77	1291.80					2.10	0.43			83.8	UF
1090E	4	3	97	99	37.82	1295.00					2.34	0.10			91.9	UF
1090E	4	3	102	104	37.87	1298.20					1.67	-0.07			92.1	UF
1090E	4	3	107	109	37.92	1301.40					1.79	-0.01			93.2	UF
1090E	4	3	112	114	37.97	1304.60	3.47	-0.33			1.83	0.44			92.9	UF
1090E	4	3	117	119	38.02	1307.80	3.22	0.19			2.35	0.24			92.4	UF
1090E	4	3	122	124	38.07	1311.00	3.24	-0.30			2.06	-0.11			90.9	UF
1090E	4	3	127	129	38.12	1314.20	3.29	-0.52			1.93	-0.04			89.1	UF
1090E	4	3	132	134	38.17	1317.40	3.17	-0.46			2.14	0.29			73.6	UF
1090E	4	3	137	139	38.22	1320.60	3.24	-0.16			2.06	0.39			69.1	UF
1090E	4	3	142	144	38.27	1323.80	3.24	-0.33			1.96	0.55			72.7	UF
1090E	4	3	147	149	38.32	1327.00	3.18	-0.35			1.94	0.06			79.2	UF
1090E	4	4	2	4	38.37	1330.20	3.04	-0.02			2.24	0.53			81.6	UF
1090E	4	4	7	9	38.42	1333.40	3.43	-0.35			2.28	0.71			75.7	UF
1090E	4	4	12	14	38.47	1336.60	3.98	-0.56			2.44	0.23			62.1	UF
1090E	4	4	17	19	38.52	1339.70	3.63	-0.80			2.42	0.36			54.0	UF
1090E	4	4	22	24	38.57	1342.70	3.46	-0.83			2.55	0.16			48.3	UF
1090E	4	4	27	29	38.62	1345.80	3.06	0.11			2.11	1.16			61.0	UF
1090E	4	4	32	34	38.67	1348.80	3.19	-0.69			1.91	0.76			79.9	UF
1090E	4	4	37	39	38.72	1351.80	2.66	0.36			2.03	0.42			79.6	UF
1090E	4	4	42	44	38.77	1354.90	2.80	0.29			1.90	0.56			82.5	UF
1090E	4	4	47	49	38.82	1357.90	2.61	0.47			1.86	0.23			81.8	UF
1090E	4	4	52	54	38.87	1361.00	2.83	-0.39			1.86	0.68			83.2	UF
1090E	4	4	57	59	38.92	1364.10	2.84	-0.37			2.08	0.12			82.8	UF
1090E	4	4	62	64	38.97	1367.10	3.55	-0.37			2.16	0.23			77.7	UF
1090E	4	4	67	69	39.02	1368.00	3.49	-0.92			2.26	0.30			74.8	UF
1090E	4	4	72	74	39.07	1369.00	3.55	-0.38			2.35	0.26			71.7	UF
1090E	4	4	77	79	39.12	1369.90	3.62	-0.93			2.33	-0.23			65.8	UF
1090E	4	4	82	84	39.17	1370.80	3.58	-0.93			2.10	0.26			55.3	UF
1090E	4	4	87	89	39.22	1371.80	3.47	-0.51			1.81	0.40			61.9	UF
1090E	4	4	92	94	39.27	1372.70	3.49	-0.94							75.1	UF
1090E	4	4	97	99	39.32	1382.10	3.19	-0.12			1.84	0.08			80.6	UF
1090E	4	4	102	104	39.37	1391.50	2.94	0.25			1.78	-0.05			78.0	UF
1090E	4	4	107	109	39.42	1400.90	3.25	-0.47			2.02	-0.28			77.4	UF
1090E	4	4	112	114	39.47	1410.30	3.75	-1.12			2.10	-0.02			73.7	UF
1090E	4	4	117	119	39.52	1419.70	3.81	-0.85			2.07	-0.21			70.9	UF
1090E	4	4	122	124	39.57	1421.90	3.63	-0.99			2.15	0.11			67.9	UF
1090E	4	4	127	129	39.62	1424.20	3.66	-0.78			2.23	-0.20			66.9	UF
1090E	4	4	132	134	39.67	1426.40	2.93	0.59			2.02	0.03			70.8	UF
1090E	4	4	137	139	39.72	1428.70	2.72	0.54			1.93	0.04			73.3	UF
1090E	4	4	142	144	39.77	1430.90	2.73	0.37			1.58	0.40			76.5	UF
1090E	4	4	144	146	39.79	1431.80	2.69	0.48			1.47	0.34			80.4	UF
1090E	4	5	2	4	39.87	1435.40	2.86	0.47			1.36	0.47			82.0	UF
1090E	4	5	7	9	39.92	1437.70	2.68	0.43			1.41	0.48			82.5	UF
1090E	4	5	12	14	39.97	1439.90	2.56	0.40			1.49	0.24			83.0	UF
1090E	4	5	17	19	40.02	1442.20	2.75	0.42			1.17	0.18			83.9	UF
1090E	4	5	22	24	40.07	1444.40	2.65	0.48			1.25	0.02			82.1	UF
1090E	4	5	27	29	40.12	1446.70	2.75	0.44			1.27	-0.12			81.5	UF
1090E	4	5	32	34	40.17	1448.90	2.74	0.11			1.48	-0.29			79.6	UF
1090E	4	5	37	39	40.22	1451.20	2.80	0.40			1.24	-0.40			78.6	UF
1090E	4	5	42	44	40.27	1453.40	2.72	0.19			1.50	0.02			74.6	UF
1090E	4	5	47	49	40.32	1455.70	2.70	0.50			2.15	0.04			65.7	UF
1090E	4	5	52	54	40.37	1457.90	3.17	0.10			1.75	-0.14			54.4	UF
1090E	4	5	57	59	40.42	1476.40	2.87	0.36			1.85	0.98			62.1	UF
1090E	4	5	62	64	40.47	1478.30	2.87	0.78			2.21	1.50			74.5	UF
1090E	4	5	67	69	40.52	1480.30	2.85	0.74			2.09	1.25			70.6	UF
1090E	4	5	72	74	40.57	1482.20	2.95	0.73							79.6	UF
																
1090D	5	1	51	53	40.62	1484.20	2.76	0.35			1.73	0.42			78.9	UF
1090D	5	1	56	58	40.67	1486.10	2.84	0.52			1.66	-0.10			79.2	UF
1090D	5	1	61	63	40.72	1488.10	2.84	-0.11			2.14	0.45			78.0	UF
1090D	5	1	66	68	40.77	1490.00	2.91	-0.14			2.49	0.53			72.8	UF
1090D	5	1	71	73	40.82	1499.00	3.75	-0.84			2.14	0.47			66.0	UF
1090D	5	1	76	78	40.87	1508.00	3.62	-0.90			2.11	0.68			67.5	UF
1090D	5	1	81	83	40.92	1513.90	3.30	-0.44			2.11	0.86			78.1	UF
1090D	5	1	86	88	40.97	1519.80	3.12	0.12			1.98	0.21			84.8	UF
1090D	5	1	91	93	41.02	1525.70	3.15	-0.09			2.24	-0.12			74.4	UF
1090D	5	1	96	98	41.07	1530.30	3.84	-0.97			2.15	0.42			64.9	UF
1090D	5	1	101	103	41.12	1534.90	3.80	-1.15			2.62	0.17			55.3	UF
1090D	5	1	106	108	41.17	1539.40	3.67	-0.67			2.24	0.31			52.0	UF
1090D	5	1	111	113	41.22	1544.00	4.04	-1.23			2.23	0.57			38.9	UF
1090D	5	1	116	118	41.27	1548.60	3.73	-1.25			2.19	0.78			47.0	UF
1090D	5	1	121	123	41.32	1553.20	3.62	-1.12			2.24	1.18			59.3	UF
1090D	5	1	126	128	41.37	1557.70	3.27	-0.35			2.26	0.98			70.2	UF
1090D	5	1	131	133	41.42	1562.30	3.22	-0.42			2.36	1.12			73.4	UF
1090D	5	1	136	138	41.47	1566.90	3.00	-0.02			2.18	0.53			80.0	UF
1090D	5	1	141	143	41.52	1572.40	3.68	-0.04			2.27	0.49			70.6	UF
1090D	5	1	146	148	41.57	1577.90	3.77	-0.44			2.34	0.86			62.3	UF
1090D	5	2	1	3	41.62	1583.40	3.42	-0.59			2.04	0.27			60.1	UF
1090D	5	2	6	8	41.67	1589.00	3.11	-0.11			2.32	0.66			76.3	UF
1090D	5	2	11	13	41.72	1594.50	3.17	-0.25			2.29	0.41			69.3	UF
1090D	5	2	16	18	41.77	1600.00	3.21	-0.33			2.27	0.19			73.3	UF
1090D	5	2	21	23	41.82	1605.50	2.90	0.07			2.13	0.50			80.6	UF
1090D	5	2	26	28	41.87	1611.00	3.13	-0.27			2.24	0.43			79.8	UF
1090D	5	2	31	33	41.92	1616.50	3.14	-0.01			2.06	0.57			79.6	UF
1090D	5	2	36	38	41.97	1622.00	3.22	-0.24			2.23	0.23			81.0	UF
1090D	5	2	41	43	42.02	1627.60	3.04	0.22			2.10	0.66			76.3	UF
1090D	5	2	46	48	42.07	1633.10	2.92	0.35			2.20	0.75			81.3	UF
1090D	5	2	51	53	42.12	1638.60					1.87	0.64			80.0	UF
1090D	5	2	56	58	42.17	1644.10	3.29	-0.18			2.01	0.12			78.1	UF
1090D	5	2	61	63	42.22	1647.20	3.75	0.22			2.14	0.11			70.0	UF
1090D	5	2	66	68	42.27	1650.20	3.60	0.29			2.22	0.04			57.2	UF
1090D	5	2	71	73	42.32	1653.20	3.63	-0.38			2.15	0.06			59.7	UF
1090D	5	2	76	78	42.37	1656.30	3.68	-0.06			2.23	0.13			54.0	UF
1090D	5	2	81	83	42.42	1659.30	3.77	-0.07			2.00	0.36			44.9	UF
1090D	5	2	86	88	42.47	1662.40	3.85	-0.49			2.01	0.38			56.2	UF
1090D	5	2	91	93	42.52	1668.00	3.52	-0.14			1.95	0.07			59.9	UF
1090D	5	2	96	98	42.57	1673.60					1.95	0.34			66.0	UF
1090D	5	2	101	103	42.62	1679.20	3.36	0.22			1.87	0.15			80.3	UF
1090D	5	2	106	108	42.67	1684.90	3.46	-0.69			1.96	0.06			81.2	UF
1090D	5	2	111	113	42.72	1690.50					1.89	-0.15			77.6	UF
1090D	5	2	116	118	42.77	1696.10					2.09	-0.39			74.3	UF
1090D	5	2	121	123	42.82	1701.70	3.68	-0.39			2.05	-0.23			61.7	UF
1090D	5	2	126	128	42.87	1703.30					1.91	-0.36			52.5	UF
1090D	5	2	131	133	42.92	1704.80					1.92	0.12			54.2	UF
1090D	5	2	136	138	42.97	1706.40	3.49	-0.08			1.90	-0.47			60.6	UF
1090D	5	2	141	143	43.02	1711.60	3.30	-0.54			1.76	-0.04			73.8	UF
1090D	5	2	146	148	43.07	1716.90	3.50	-0.09			1.94	-0.36			68.3	UF
1090D	5	3	1	3	43.12	1722.10	3.59	-0.36			1.97	-0.11			70.4	UF
1090D	5	3	6	8	43.17	1736.40	3.31	-0.16			1.91	-0.37			79.7	UF
1090D	5	3	11	13	43.22	1750.80	3.80	-0.12			2.02	-0.09			73.1	UF
1090D	5	3	16	18	43.27	1752.80					1.91	-0.34			65.1	UF
1090D	5	3	21	23	43.32	1754.80	3.56	-0.04			2.08	0.19			68.7	UF
1090D	5	3	26	28	43.37	1756.90	3.17	0.53			1.89	0.03			61.5	UF
1090D	5	3	31	33	43.42	1758.90	2.85	0.32			1.95	0.37			71.5	UF
1090D	5	3	36	38	43.47	1766.20					1.86	0.44			76.5	UF
1090D	5	3	41	43	43.52	1773.50	3.17	0.18			1.96	0.34			76.0	UF
1090D	5	3	46	48	43.57	1779.60	3.45	-0.69			1.96	0.14			73.7	UF
1090D	5	3	51	53	43.62	1785.70					2.05	0.07			62.0	UF
1090D	5	3	56	58	43.67	1791.80	3.51	-0.21			2.22	0.36			54.9	UF
1090D	5	3	61	63	43.72	1794.90	3.39	-0.36			2.04	0.03			56.3	UF
1090D	5	3	66	68	43.77	1798.00	3.39	0.16			1.77	0.29			74.2	UF
1090D	5	3	71	73	43.82	1801.10					2.30	0.45			80.4	UF
1090D	5	3	76	78	43.87	1804.20	3.23	0.59			2.37	0.43			78.3	UF
1090D	5	3	81	83	43.92	1807.30	3.45	-0.37			2.28	0.50			61.2	UF
1090D	5	3	86	88	43.97	1810.40	3.22	0.09			2.18	0.57			77.1	UF
1090D	5	3	91	93	44.02	1813.40	3.23	0.40			2.36	0.50			71.8	UF
1090D	5	3	96	98	44.07	1816.50	3.13	0.35			2.48	0.52			81.0	UF
1090D	5	3	101	103	44.12	1819.60	3.02	0.45			2.36	0.28			81.4	UF
1090D	5	3	106	108	44.17	1822.70	2.98	-0.02			2.26	0.49			78.4	UF
1090D	5	3	111	113	44.22	1825.80	3.13	0.20			2.27	0.13			75.2	UF
1090D	5	3	116	118	44.27	1828.90	3.30	-0.42			2.43	0.19			65.1	UF
1090D	5	3	121	123	44.32	1832.00	2.99	0.27			2.33	0.25			62.4	UF
1090D	5	3	126	128	44.37	1835.10	3.23	-0.25			2.33	0.31			68.7	UF
1090D	5	3	131	133	44.42	1866.50	3.07	-0.18			2.35	0.47			72.4	UF
1090D	5	3	136	138	44.47	1870.00	3.29	-0.33			2.29	0.64			70.6	UF
1090D	5	3	141	143	44.52	1873.40	3.10	0.01			2.40	0.49			75.9	UF
1090D	5	3	146	148	44.57	1876.90	3.43	-0.55			2.42	0.68			74.7	UF
1090D	5	4	1	3	44.62	1880.40	3.29	-0.18			2.33	0.69			76.8	UF
1090D	5	4	6	8	44.67	1883.90	3.32	0.18			2.33	0.76			78.8	UF
1090D	5	4	11	13	44.72	1887.30	3.38	-0.49			2.55	0.48			78.4	UF
1090D	5	4	16	18	44.77	1890.80	3.23	0.09			2.28	0.52			78.3	UF
1090D	5	4	21	23	44.82	1894.30					2.33	0.28			79.7	UF
1090D	5	4	26	28	44.87	1897.70					2.30	0.28			77.4	UF
1090D	5	4	31	33	44.92	1901.20	3.54	0.25			2.38	0.15			75.5	UF
1090D	5	4	36	38	44.97	1904.70	3.64	0.09			2.56	0.07			54.4	UF
1090D	5	4	41	43	45.02	1908.20	3.24	0.21			2.40	0.59			56.6	UF
1090D	5	4	46	48	45.07	1911.60	3.74	-1.18			2.17	0.06			58.1	UF
1090D	5	4	51	53	45.12	1915.10	3.71	-1.00			2.51	0.45			64.8	UF
1090D	5	4	56	58	45.17	1917.90	3.60	-0.88			2.37	0.09			65.1	UF
1090D	5	4	61	63	45.22	1920.60	3.38	-0.48			2.48	0.01			73.2	UF
1090D	5	4	66	68	45.27	1923.40	3.42	-0.78			2.44	0.02			72.8	UF
1090D	5	4	71	73	45.32	1926.20	3.42	-0.89			2.51	-0.01			70.5	UF
1090D	5	4	76	78	45.37	1929.00	3.57	-0.53			2.30	0.15			74.3	UF
1090D	5	4	81	83	45.42	1931.70	3.28	-0.21			2.52	0.34			77.0	UF
1090D	5	4	86	88	45.47	1934.50	3.17	0.10			2.41	0.49			78.3	UF
1090D	5	4	91	93	45.52	1936.80					2.42	0.11			81.8	UF
1090D	5	4	96	98	45.57	1939.10	2.88	0.12			2.38	0.21			78.6	UF
1090D	5	4	101	103	45.62	1941.40	2.84	0.25			2.30	0.31			81.2	UF
1090D	5	4	106	108	45.67	1943.80	3.10	-0.73							79.2	UF
1090D	5	4	111	113	45.72	1946.10	2.82	-0.03			2.32	0.18			74.5	UF
1090D	5	4	116	118	45.77	1948.40	2.99	-0.29			2.05	-0.17			69.6	UF
1090D	5	4	121	123	45.82	1953.50	3.51	-1.00			2.20	0.24			65.2	UF
1090D	5	4	126	128	45.87	1958.60	3.51	-1.38			2.19	0.22			67.8	UF
1090D	5	4	131	133	45.92	1960.90	3.29	-0.37			2.31	0.26			71.2	UF
1090D	5	4	136	138	45.97	1963.20	3.34	-0.76			2.20	0.53			65.3	UF
1090D	5	4	141	143	46.02	1965.50	3.07	0.05			2.34	0.43			71.5	UF
1090D	5	4	146	148	46.07	1967.80	3.22	-0.38			2.51	0.58			79.7	UF
1090D	5	5	1	3	46.12	1970.10	3.15	-0.63			2.43	0.83			80.6	UF
1090D	5	5	6	8	46.17	1972.40					2.41	0.99			82.3	UF
1090D	5	5	11	13	46.22	1974.60	2.91	-0.13			2.25	0.80			85.8	UF
1090D	5	5	16	18	46.27	1976.90	2.85	0.17			2.30	0.69			86.6	UF
1090D	5	5	21	23	46.32	1979.20	2.84	0.14			2.36	0.86			87.8	UF
1090D	5	5	26	28	46.37	1981.50	2.89	0.13			2.38	0.57			85.4	UF
1090D	5	5	31	33	46.42	1983.80	3.18	-0.31			2.49	0.54			85.8	UF
1090D	5	5	36	38	46.47	1986.10	3.35	-0.27			2.36	0.55			82.9	UF
1090D	5	5	41	43	46.52	1988.40	3.56	-0.39			2.36	0.50			78.9	UF
1090D	5	5	46	48	46.57	1989.70	3.57	-0.75			2.50	0.69			75.3	UF
1090D	5	5	51	53	46.62	1990.90	3.55	-0.90			2.45	0.38			72.8	UF
1090D	5	5	56	58	46.67	1992.20	3.50	-0.78			2.56	0.66			77.2	UF
1090D	5	5	61	63	46.72	1993.50	3.22	-0.43			2.56	0.58			79.4	UF
1090D	5	5	66	68	46.77	1994.80	3.68	-0.43			2.53	0.54			81.8	UF
1090D	5	5	71	73	46.82	1996.10	3.53	-0.27			2.23	0.53			83.2	UF
1090D	5	5	76	78	46.87	1997.30	3.47	-0.56			2.41	0.57			84.3	UF
1090D	5	5	81	83	46.92	1998.60	3.17	-0.13			2.43	0.60			82.2	UF
																
1090E	5	2	0	2	46.99	2002.30	3.02	-0.06			2.31	0.53			77.9	UF
1090E	5	2	5	7	47.04	2005.00	3.20	-0.05			2.31	0.71			82.7	UF
1090E	5	2	10	12	47.09	2007.60	3.09	0.03			2.53	0.83			85.6	UF
1090E	5	2	15	17	47.14	2010.30	2.83	0.40			2.20	0.79			86.3	UF
1090E	5	2	20	22	47.19	2012.90	2.80	0.52			2.32	0.86			86.3	UF
1090E	5	2	25	27	47.24	2015.60	2.83	0.53			2.24	0.98			85.6	UF
1090E	5	2	30	32	47.29	2018.20	2.96	0.01			2.01	0.71			83.4	UF
1090E	5	2	35	37	47.34	2020.90	2.87	0.01			2.23	1.04			84.3	UF
1090E	5	2	40	42	47.39	2023.50	2.88	0.37			2.17	0.71			85.9	UF
1090E	5	2	45	47	47.44	2026.20	2.82	0.47			2.03	0.65			83.9	UF
1090E	5	2	50	52	47.49	2028.80	2.85	0.48			2.22	0.79			80.3	UF
1090E	5	2	55	57	47.54	2031.50	3.19	0.13							80.7	UF
1090E	5	2	60	62	47.59	2040.50	3.09	-0.22			2.24	0.47			82.4	UF
1090E	5	2	65	67	47.64	2049.90	3.18	0.24			2.59	0.72			83.3	UF
1090E	5	2	70	72	47.69	2059.20	3.13	0.39			2.49	0.63			81.0	UF
1090E	5	2	75	77	47.74	2060.50	3.36	0.25			2.52	0.58			82.7	UF
1090E	5	2	80	82	47.79	2061.80	3.35	-0.17			2.53	0.48			81.5	UF
1090E	5	2	85	87	47.84	2063.10	3.42	0.17			2.61	0.39			81.4	UF
1090E	5	2	90	92	47.89	2064.40	3.46	-0.12			2.71	0.33			82.4	UF
1090E	5	2	95	97	47.94	2065.70	3.49	0.12			2.70	0.40			81.8	UF
1090E	5	2	100	102	47.99	2084.40	3.43	-0.09			2.56	0.33			83.1	UF
1090E	5	2	105	107	48.04	2091.50	3.33	0.02			2.76	0.36			81.5	UF
1090E	5	2	110	112	48.09	2098.70	3.28	-0.50			2.64	0.46			84.2	UF
1090E	5	2	115	117	48.14	2105.80	3.30	-0.05			2.62	0.44			78.6	UF
1090E	5	3	0	2	48.19	2112.90	3.00	0.03			2.30	0.41			78.7	UF
1090E	5	3	5	7	48.24	2120.10	3.19	0.05			2.50	0.32			76.1	UF
1090E	5	3	10	12	48.29	2127.20	3.38	-0.57			2.40	0.32			79.4	UF
1090E	5	3	15	17	48.34	2128.80	3.31	-0.32			2.43	0.24			77.0	UF
1090E	5	3	20	22	48.39	2130.30					2.37	0.28			81.9	UF
1090E	5	3	25	27	48.44	2131.90					2.36	0.27			80.9	UF
1090E	5	3	30	32	48.49	2133.50					2.55	0.09			81.0	UF
1090E	5	3	35	37	48.54	2135.00					2.52	0.47			80.3	UF
1090E	5	3	40	42	48.59	2136.60	3.25	-0.40			2.58	0.19			76.8	UF
1090E	5	3	45	47	48.64	2138.20	3.33	-0.23			2.68	0.31			78.7	UF
1090E	5	3	50	52	48.69	2139.80	3.18	-0.15			2.56	0.19			78.8	UF
1090E	5	3	55	57	48.74	2141.30	3.28	-0.40			2.60	-0.06			79.8	UF
1090E	5	3	60	62	48.79	2142.90					2.68	-0.08			76.8	UF
1090E	5	3	65	67	48.84	2144.50					2.82	-0.13			73.6	UF
1090E	5	3	70	72	48.89	2146.00					2.63	0.18			73.3	UF
1090E	5	3	75	77	48.94	2147.60	3.64	-0.15			2.69	0.25			67.4	UF
1090E	5	3	80	82	48.99	2149.30					2.73	0.03			58.9	UF
1090E	5	3	85	87	49.04	2151.10					2.69	0.26			57.5	UF
1090E	5	3	90	92	49.09	2152.80	3.61	-0.57			2.48	0.37			60.8	UF
1090E	5	3	95	97	49.14	2154.60	3.56	-1.37							56.3	UF
